sNabaB-eb3Y	wHkPb68dxEw	left
sNabaB-eb3Y	y2emSXSE-N4	left
fY_FQMQpjok	sNabaB-eb3Y	left
Vr4D8xO2lBY	sNabaB-eb3Y	right
sNabaB-eb3Y	dDtRnstrefE	left
wSMh4E3xxdw	fY_FQMQpjok	right
fY_FQMQpjok	No-ZR7-X76s	left
HZPUQQNRvOg	2ruyMxxfAJg	right
vX95JgKGu0o	wu4SU70w7LA	left
sNabaB-eb3Y	2FHH-9teZP0	left
sP3YdfG_Uio	fY_FQMQpjok	right
fY_FQMQpjok	#NAME?	left
fY_FQMQpjok	DqEJS86_iUA	left
SG2B7dIqbNQ	sNabaB-eb3Y	right
rhjIStU0JvI	sNabaB-eb3Y	right
axZ2xvYhOKw	vX95JgKGu0o	left
fY_FQMQpjok	a-syzH14WQA	left
axZ2xvYhOKw	TgrUs_ZwwDc	left
bfU4rTa-PfQ	jpntOJ_xDJ0	right
Lr4SS1zxRYg	QwpWaLrDHnU	left
wvybYNEDQWE	fY_FQMQpjok	right
Ai6DSPPo0VI	axZ2xvYhOKw	right
g6lJ2k3TCFg	Lr4SS1zxRYg	right
Lr4SS1zxRYg	fY_FQMQpjok	left
Lr4SS1zxRYg	fY_FQMQpjok	left
Lr4SS1zxRYg	axZ2xvYhOKw	right
UPTrASEx_p8	axZ2xvYhOKw	right
g2HylVyOyzc	plieAqK2a00	right
JmtITSojOF8	plieAqK2a00	right
BXPvq89jMUg	plieAqK2a00	right
kRtbOTXN0FM	sfQEd-lVHCE	left
wY-1KNh7-NQ	plieAqK2a00	right
aAjvqy_L3C8	plieAqK2a00	left
kRtbOTXN0FM	YWzqfaX4ofU	left
plieAqK2a00	ot0YhG58PiM	right
aAjvqy_L3C8	-0lrQdFmL9U	left
dRZIWb_Nzwo	aAjvqy_L3C8	right
4gDfq2vxyXk	yqEeP1acj4Y	left
aAjvqy_L3C8	bYwTrq__zV4	left
ot0YhG58PiM	aAjvqy_L3C8	right
KPP5NbjW9eI	ot0YhG58PiM	left
ot0YhG58PiM	pa22SdOuWnk	left
4gDfq2vxyXk	jJ3eeDp4tkQ	left
HIwA2P7aeTk	A5ECnsNtg1c	right
aAjvqy_L3C8	Uomk60wP2mI	left
Uomk60wP2mI	KPP5NbjW9eI	right
kRtbOTXN0FM	XMK89HXKKAA	left
kRtbOTXN0FM	cvoOHcAlY2o	left
ElL6I6-jjF4	KPP5NbjW9eI	right
3-i0l0EKeqc	NlYMZ-bWWnE	right
aAjvqy_L3C8	KPP5NbjW9eI	left
39NV1EZvVgk	kRtbOTXN0FM	right
39NV1EZvVgk	kRtbOTXN0FM	right
dbEq8b3y8ws	kRtbOTXN0FM	right
kRtbOTXN0FM	1yLgfOXYg_I	left
nXR6l70Pmqk	2HFTEykZ8mY	left
Q6MKYbWPX5Y	NlYMZ-bWWnE	right
4gDfq2vxyXk	ije7uAIuO1g	left
4gDfq2vxyXk	qtXFbTTW8es	left
kRtbOTXN0FM	aAjvqy_L3C8	right
aAjvqy_L3C8	kRtbOTXN0FM	left
GGuqLRDmfhw	kRtbOTXN0FM	right
psO6_rNKP6g	4gDfq2vxyXk	left
4gDfq2vxyXk	psO6_rNKP6g	right
kRtbOTXN0FM	vA63Ln5xbDk	right
psO6_rNKP6g	ap9Fp8lBtMo	left
NlYMZ-bWWnE	DdSUjqtYBAc	left
psO6_rNKP6g	aAjvqy_L3C8	left
vA63Ln5xbDk	psO6_rNKP6g	right
eDz1Oi8yR3w	A5ECnsNtg1c	right
qrrAB-wu_8s	vA63Ln5xbDk	right
ot0YhG58PiM	ihTJHXm93v0	left
w8UWgufUIv0	l1Sj3HSXGxw	left
l1Sj3HSXGxw	cUptk3m1Ro4	left
wHOraxZ3RKM	NA3I4aZk0fQ	right
VESnbnjgD4s	l5XIB3zYL5c	right
4lKgmsPDJgU	ot0YhG58PiM	right
PtTwGA6uVcY	ot0YhG58PiM	right
gR7gg9aH-fo	XcgNS-7Ia14	left
gR7gg9aH-fo	Vo6JP9DdI4w	left
w8UWgufUIv0	lNm9c4DNHW8	left
gR7gg9aH-fo	aAjvqy_L3C8	left
zbZw7gUlFbk	JzA9rbRaR8s	left
gR7gg9aH-fo	vA63Ln5xbDk	right
aAjvqy_L3C8	gR7gg9aH-fo	left
vA63Ln5xbDk	aAjvqy_L3C8	left
vA63Ln5xbDk	nXR6l70Pmqk	left
w8UWgufUIv0	g6Bz0_UMlFw	right
zbZw7gUlFbk	Nfwuv47ZIDs	left
z2UzegxUuvI	zbZw7gUlFbk	right
vG8VLOvMbYM	2KyRCQp32p8	left
b_QnFoapqQA	smySNGKpabE	left
YxUTSD7rfY0	gea8GQisBfA	right
ihZynQvlZbc	eFR9xkZm4ck	right
8Ydg8Fb8H7M	NA3I4aZk0fQ	left
x0RDtMvsQmg	gea8GQisBfA	left
vA63Ln5xbDk	aAjvqy_L3C8	left
KJQ81MNPhgM	zbZw7gUlFbk	right
zbZw7gUlFbk	0iM5OIBXWjs	left
vA63Ln5xbDk	zbZw7gUlFbk	right
vA63Ln5xbDk	zbZw7gUlFbk	right
nXR6l70Pmqk	Wm65ZuQazGs	left
tWh6fH85fao	ot0YhG58PiM	right
aWRi0s2ofHw	g6Bz0_UMlFw	right
g6Bz0_UMlFw	LRbSMlzFmm4	left
GJ5GridOsyo	ot0YhG58PiM	right
6VbSUysiQ80	n0kBh_jEJpU	left
8Ydg8Fb8H7M	UvJhIy8aC1I	right
7vFefeRSmi8	eFR9xkZm4ck	right
ijP7XYmaW-o	b_QnFoapqQA	right
wvqEXN1XNvQ	nXR6l70Pmqk	right
6VbSUysiQ80	kLyJ4QMj-5M	right
T8XTK61DvU0	UvJhIy8aC1I	right
Wn-2fBsEBH4	kLyJ4QMj-5M	right
6phXxchGS9w	GVG2zhz_KaA	right
g6Bz0_UMlFw	vA63Ln5xbDk	left
gxbZKRbffrY	#NAME?	right
GVG2zhz_KaA	txXW-TT9xCo	left
1pKmXyadAMQ	KPP5NbjW9eI	left
2QlGj_GPPi4	nmb84jjcZjc	left
2QlGj_GPPi4	kor9jmwTpZA	right
2QlGj_GPPi4	upaJHS8mfP8	left
F3jFTzhdZF4	7O5Wu948TH4	right
2QlGj_GPPi4	bdY7Adc1LRM	right
AN5XbEer9_0	kor9jmwTpZA	left
zKAW96N-Vms	kor9jmwTpZA	left
AN5XbEer9_0	ypIbTpnuNgg	right
AN5XbEer9_0	XhOQXP8Tlmg	left
7Mlch97EQDA	ypIbTpnuNgg	left
PkbB-X9654s	ypIbTpnuNgg	left
ypIbTpnuNgg	7INfm99741E	right
7O5Wu948TH4	7Mlch97EQDA	right
7Mlch97EQDA	zKAW96N-Vms	right
7Mlch97EQDA	bdY7Adc1LRM	right
7INfm99741E	zKAW96N-Vms	right
7INfm99741E	zKAW96N-Vms	right
zKAW96N-Vms	7INfm99741E	left
PkbB-X9654s	zKAW96N-Vms	right
PkbB-X9654s	zKAW96N-Vms	right
zKAW96N-Vms	bdY7Adc1LRM	right
NC7fqQE995I	3tI4CbCniBI	left
7Mlch97EQDA	zmRTGRbrATs	left
2J72b8_DavU	PkbB-X9654s	right
bdY7Adc1LRM	zKAW96N-Vms	left
7INfm99741E	VXr7IRNDOlA	left
7Mlch97EQDA	XiPziAAV7EE	left
7Mlch97EQDA	XiPziAAV7EE	left
zKAW96N-Vms	bdY7Adc1LRM	left
zYCoXKSCQcM	NC7fqQE995I	left
bdY7Adc1LRM	zKAW96N-Vms	right
bdY7Adc1LRM	zKAW96N-Vms	right
8C7yjO0TIIk	xB7iz1HTh9U	right
GKE9EsU9U2s	kor9jmwTpZA	right
APH4k8yyi0M	PkbB-X9654s	left
1bXe